Source,ownership,Region,Name,Country,address,City and Region,State,description,Simple Category,Full Category,E-mail,Website,Phone,Facebook,Lat,Long,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus / Facebook,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Original Long lat or degrees,,g_Address,g_LatLng,g_Icon,g_Id,g_Place_Id,g_Name,,g_Rating,g_Types,open_CONTACT FIRST NAME,open_CONTACT SURNAME,open_CONTACT POSITION,IMAGE URL,FUNCTION,THEME,FORM,FOCUS,SUBMITTER FIRST NAME,SUBMITTER SURNAME,SUBMITTER EMAIL,SUBMITTER ORGANISATION,ADDRESS 1,ADDRESS 2,ADDRESS 3,Address 4,POSTCODE,address_open,description_open,Full Category_open,Lat_open,Long_open,faire_category,faire_annual,faire_name,faire_year,faire_event_type,faire_event_start_date,,giz_impact
Ananse,,Africa,Afri Banana Products Ltd (ABP),Uganda,"ABP Ltd, P.O.BOX 7181",Kampala,,"ABP is an agribusiness incubator formed by Kyambogo University, Mbarara University of Science and Technology, Excel Hort Consult Ltd, FREVASEMA, Uganda Industrial Research Institute, Kenya Agricultural Research Institute, Uganda Carbon Bureau and Adaptive Seed Company as a company limited by guarantee. It is an initiative of UniBRAIN dedicated to promoting business and improved delivery of agribusiness education in the banana value chain in Uganda and Kenya.",Appropriate Technology,"Appropriate Technology Facilities, business incubator",atujosh200630@yahoo.com,http://afribananaproducts.wordpress.com/,Mr. Joshua Atukunda: (Tel: +256) 776 426578,http://www.fara-africa.org/our-projects/unibrain/abou/,0.313611,32.581111,,,,,,,,,,,,,,,,,,,,,,,,,"ABP Ltd, P.O.BOX 7181, Kampala, Uganda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,Agribusiness Incubation Trust (AgBIT),Zambia,"AgBIT, P.O.Box 320249","Lusaka, Zambia",,"AgBIT is a UniBRAIN agribusiness incubator formed by a consortium of pri-vate and public institutions: Frontier Development Associates, Mulungushi University, University of Zambia; Zambian Agricultural Research Institute, among others AgBIT is a company limited by guarantee dedicated to promot-ing business in the Fruit & Vegetable value chain in Zambia.",Appropriate Technology,"Appropriate Technology Facilities, business incubator",brian@frontierda.com,http://www.agbit.co.zm/,Mr Brian MwanamamboL (Tel: +260) 211 260716,http://www.fara-africa.org/our-projects/unibrain/abou/,-15.416667,28.283333,,,,,,,,,,,,,,,,,,,,,,,,,"Lusaka, Zambia, Zambia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,Agro-Environment Initiative,Kenya,Nairobi,Nairobi,,"Welcome to Agro-Environmental Initiative. We acknowledge that young people are the future of agriculture industry which is the steering wheel of our country's economy.
 
 
 
 We are on a mission to sensitize the
  young generation in agriculture production, agribusiness, agriculture 
 value chain development , environmental conservation for sustainability 
 of agriculture industry.
 
 We hope to achieve this by harnessing young people's innovation, passion and energy and directing
  it towards profitable agriculture and environmental conservation for 
 employment creation,food security and poverty reduction.",Appropriate Technology,"Appropriate Technology Facilities,  Distributed Community",yagrein@gmail.com,http://yagrein.blogspot.com,729273753,,-1.292066,36.821946,,,,,,,,,,,,,,,,,,,,,,,,,"Nairobi, Nairobi, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,non-profit institution,India,Appropriate Rural Technology Institute (ARTI),India,"Appropriate Rural Technology Institute's Rural Entrepreneurship Development Center
 
 (ARTI - REDC)
 
 Ganeshnagar, Phaltan-Baramati Road,
 
 Phaltan 415 523.
 
 Maharashtra",Pune,Maharashtra,"Till recently, modern science and technology served mainly the 
 interests of the organised industrial sector. Due to introduction of 
 mechanisation, automation and methods of mass production, goods produced
 by the organised industrial sector became so cheap that rural artisans 
 could not compete with them. Destruction of the traditional rural 
 enterprises led to pauperisation of rural India. The recent changes in 
 economic conditions, such as increase in the cost of fossil fuels, 
 increase in the cost of transport and the increased overhead expenses of
 operating modern industrial units, offer a chance to revive rural, 
 family owned enterprises, which would use locally available raw material
 and sell their products locally. ARTI was founded in 1996 by a group of
 about 20 scientists and technologists to develop innovative and 
 environmentally friendly rural technologies based on modern scientific 
 knowledge. ARTI endeavors to help the rural people in establishing new 
 enterprises. ARTI also maintains a Rural Entrepreneurship Development 
 Centre in a rural location in the State of Maharashtra, India. Potential
 rural entrepreneurs are trained at this Centre in the technologies 
 developed by ARTI. Those who start their own enterprises are provided 
 with technical backup support and marketing support.",Appropriate Technology,appropriate tech,"contact@arti-india.org, adkarve@gmail.com",http://www.arti-india.org/,091-02166-249874,http://www.pciaonline.org/node/83,17.8445175,74.2371675,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ganeshnagar, Phaltan-Baramati Road, Phaltan 415 523, Maharashtra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,Self-owned by a Not-For-Profit / NGO / Community-Run Organization,India,Auroville,India,"Auroville, an international township, sits between rural villages in
 the Villipuram district of Tamil Nadu, along the scenic Coromandel 
 Coast of southern India, some 150 km south of Chennai (Madras) and about
 10 km north of Pondicherry town, capital of Puducherry Union 
 Territory.",Pondicherry,Tamil Nadu,"Auroville wants to be a universal town where men and women of all 
 countries are able to live in peace and progressive harmony above all 
 creeds, all politics and all nationalities. 
 
 The purpose of Auroville is to realise human unity.",Appropriate Technology,appropriate tech,,www.auroville.org/,,,12.007084,79.810696,,,,,,,,,,,,,,,,,,,,,,,,,,,"Villipuram, Tamil Nadu, along the scenic Coromandel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabi Agustini,,,Bailux,Brazil,"Estrada de Trancoso KM 3, Aldeia Velha Pataxo _ Arraial D€ Ajuda, Porto Seguro, Bahia","Porto Seguro, Bahia",,"A cultural hotspot in a indigenous community that proposes the deconstruction of technology for social change, an aesthetic and social initiative based in Arraial D'Ajuda and articulated over the web.",Appropriate Technology,Appropriate tech,rbailux@gmail.com,http://bailux.org/,,https://www.facebook.com/bailux?fref=ts,-16.487,-39.0789,,,,,,,,,,,,,,,,,,,,,,,,,"4_ 37' 52"", -74_ 3' 56""","-39.0789,-16.487",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,university,India,Barefoot College ,India,,Tilonia,Rajasthan ,"Barefoot College is a non-governmental organization that has been providing basic services and solutions to problems in rural communities for more than 40 years, with the objective of making them self-sufficient and sustainable. These _Barefoot solutions_ can be broadly categorized into the delivery of Solar Electrification, Clean Water, Education, Livelihood Development, and Activism. With a geographic focus on the Least Developed Countries (LDCs), we believe strongly in Empowering Women as agents of sustainable change.",Appropriate Technology,innovation space , ,http://www.barefootcollege.org/,911463 288210,,26.6553592,74.9364564,, ,,,,,,,,,,,,,,,,,,,,,,,,,"Tiloniya, Rajasthan 305816, India","26.6553592, 74.9364564",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,568cd88167ca96ec5f36c4516b0faf5d4212efa4,ChIJEwmsNQwKbDkRNm_Xm1QKnaE,Barefoot College,,,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabi Agustini,,,Bela Labe,Brazil,"Rua Bitencourt Sampaio - Mar_, Rio de Janeiro","Rio de Janeiro, Rio de Janeiro",,"O Bela Labe _ um espaço dedicado î apropriaçao de novas tecnologias que fica dentro do Galpao Bela Mar_, do Observatorio de Favelas, na Favela da Mar_ no Rio. Sua proposta _ levar a possibilidade de questionar, refletir e manipular novas tecnologias para a comunidade do entorno, buscando entender que tipos de intervençêes sociais e est_ticas sao possiveis. ",Appropriate Technology,Appropriate tech,gilberto.observatorio@gmail.com,https://www.facebook.com/belalabemare/?fref=ts,21 3105-4599,https://www.facebook.com/belalabemare/?fref=ts,-22.854,-43.2442,,,,,,,,,,,,,,,,,,,,,,,,,,"-43.2442,-22.854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,Biotechnology for Sustainable Development in Africa,Democratic Republic of Congo,Kinshasa,Kinshasa,,"Inspired by the paradigm, _Trade Not Aid_, the BDA-USA Foundation 
 believes that the future of Africa can only be advanced through the 
 expertise and confidence of its own people. Therefore, BDA-USA is 
 investing in two of Africa_s most promising resources: African 
 entrepreneurship and Africa_s green treasure of medicinal plants.
 The BDA-USA Foundation supports programs that help rural Africans 
 develop, operate and own their own agriculture businesses. These 
 agri-businesses are designed to provide jobs, gender empowerment, and 
 food and health for thousands of impoverished people.",Appropriate Technology,"Appropriate Technology Facilities, business incubator, Distributed Community","a.vine@fondationbda.org, frontdesk@design-environment.com",http://www.bdausa.org/,,http://www.canadiangeographic.ca/magazine/jf11/congo_herbs.asp,-4.325,15.322222,,,,,,,,,,,,,,,,,,,,,,,,,"Kinshasa, Kinshasa, Democratic Republic of Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,India,Blind Makerspace,India,,Shillong,Meghalaya,,Appropriate Technology,appropriate tech,,blindlead.org,,,25.5765948,91.8750958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,corporate,India,Bombay Hemp Company Innovation Lab (Boheco),India,"Bombay Hemp Company Private Limited
 
 #49, 4th Floor, A Wing, Todi Estate,
 
 Sun Mill Compound,
 
 Opposite High Street Phoenix,
 
 Lower Parel West,
 
 Mumbai 400013
 
 Maharashtra India
 Meeting by appointment only during 
 business hours of 11:00am to 7:00pm from Monday to Friday, you may also 
 call us at 022-24912554/+91-992-003-1928/+91-992-096-0333.",Mumbai,Maharashtra,"BOHECO Innovation lab is an open minded, liberal platform for individuals and organisations from all walks of life to collaborate with the Bombay Hemp Company. The team at BOHECO established the Innovation lab based on the firm ethos of co-operation, co-creation and co-evolution. The innovation lab aims to act as a meeting point for scientists, artists, engineers, management-consultants, entrepreneurs, designers (just to name a few _ we are open to all kinds of ideas) every type of person or organisation to initiate and innovate clean,sustainable and world changing ideas which empower hemp and its varied uses for the benefit of our planet. For further information and requests for collaboration, please write to us at: avnish.pandya@boheco.org & sanvar.oberoi@boheco.org.",Appropriate Technology,appropriate tech,"avnish.pandya@boheco.org, sanvar.oberoi@boheco.org.",http://boheco.org/,022-24912554/+91-992-003-1928/+91-992-096-0333.,,18.996039,72.82691,,,,,,,,,,,,,,,,,,,,,,,,,,,"High Street Phoenix, Lower Parel West, Mumbai 400013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananse,,Africa,CAMARTEC (Centre for Agricultural Mechanization and Rural Technology),Tanzania,"Njiro Road, next to the railway",Arusha,,"CAMARTEC is primarily a government research facility, but they have lots of manufacturing and prototyping equipment that they sometimes allow outside makers to use. They also have a business incubation program.",Appropriate Technology,"Business Incubator, Appropriate Technology Facility","camartec@hotmail.com, camartec@yahoo.com",,Tel: +255 27 254 9214; Tel: +255 754 376 375,,-3.372301,36.694414,,,,,,,,,,,,,,,,,,,,,,,,,"Njiro Road, next to the railway, Arusha, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appiario,,,Casa Tres Patios,Colombia,"Carrera 50A #63-31, Barrio Prado","Medellin, Antioquia.",,"Con la mision de promover espacios
para cuestionar, crear
y compartir conocimiento. Organizan laboratorios de Incertidumbre y residencias artisticas.",Appropriate Technology,appropriate tech,comunicacionyproyectos@casatrespatios.org,http://www.casatrespatios.org/,,,6.26098,-75.5609125,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,"carrera 50 # 64 - 00, PalacÃ© #64-00, MedellÃ_n, Antioquia, Colombia","6.26098, -75.5609125",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,4a1e7432efdaaa0261d7c1392ce2e87d274f7fee,ChIJf3Idoe8oRI4RWAb8kFRs_8U,Casa Prado,,,"[u'point_of_interest', u'establishment']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
