Source,Region,Hackerspace,Country,address,City and Region,description,Category,E-mail,Website,Phone,Degree Location,Lat,Long,"Combined Long, Lat",Facebook,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Degree Location
fab_lab,Europe,Parthlab,France,"5 Rue Jean MacÃ©,  79200, dans l'epn armand jubien","Parthenay, ","ParthLab est une association de parthenay. La fablab est prÃ©sent dans un espace numerique Le fablab dispose divers locaux et de diffÃ©rents matÃ©riels (carte arduino, imprimante makerbot, une cnc en cours de montage et dÃ©coupeuse laser).
Pour apprendre et nous amÃ©liorer on se lance sur des projets comme le montage d'une EggBot, d'un scanner 3d et d'un kritzler.. 
On teste aussi des moteurs pour faire avancer une voiture par diffÃ©rentes commandes.",,parthlab@cc-parthenay.fr,http://parthlab.cc-parthenay.fr/,549710870,,-0.2493703,46.6466301,"46.6466301, -0.24937030000001","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, laser, , , ",ParthLab est une association de parthenay. La fablab est prÃ©sent dans un espace numerique,https://www.fablabs.io/parthlab,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,FabLab Valencia,Spain,"cno. de vera s/n Edif. 8G bajo,  46022, In the ground floor, in front of the bicycle parking, search for the FabLab Logo.","Valencia, Valencian Community", ,,fablab@upv.es,http://vimeo.com/user10405535,963877000 ext. 79067,,-0.333871,39.478519,"39.478519, -0.333871000000045","<https://twitter.com/fablabvalencia>, <http://fablab.upv.es>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",,https://www.fablabs.io/fablabvalencia,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,FabLab caen,France,"Esplanade StÃ©phane Hessel,  14000, ","Caen, ","Equipement : imprimantes 3D, fraiseuse 3 & 4 axes, DÃ©coupe vinyle, Laser, Machines Ã  coudre et Ã  broder, banc Ã©lectronique... Il est ouvert Ã  tous. PortÃ© par Relais d'sciences dans le cadre du programme 'InmÃ©diats', le FabLab de Caen est ouvert aux particuliers comme aux professionnels. Il est implantÃ© dans un espace de 400m2 au sein de la Maison de la Recherche et de l'Imagination (MRI) Ã  Caen.",,jlefebvre@relais-sciences.org,http://www.relais-sciences.org/fablab/,231066050,,-0.347539,49.181016,"49.181016, -0.347538999999983","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting","Equipement : imprimantes 3D, fraiseuse 3 & 4 axes, DÃ©coupe vinyle, Laser, Machines Ã  coudre et Ã  broder, banc Ã©lectronique... Il est ouvert Ã  tous.",https://www.fablabs.io/fablabcaen,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,,France,"18 Rue Latapie,  64000, ","Pau, ","FabLab Pau est un ""LABoratoire de FABrication"" associatif. Ouvert Ã  tous, c'est un espace de travail, un lieu d'Ã©change et de partage des connaissances. FabLab Pau est un ""LABoratoire de FABrication"" associatif. Ouvert Ã  tous, c'est un espace de travail, un lieu d'Ã©change et de partage des connaissances en vue de la rÃ©alisation de projets coopÃ©ratifs ayant une composante culturelle, humanitaire, scientifique, artistique, technique, etc.
DÃ©sireux d'engager des actions susceptibles d'accroÃ®tre la libertÃ© de chacun d'utiliser, de crÃ©er, d'analyser, de modifier tout objet ou bien, quelque soit son niveau de connaissances, et d'agir pour la promotion des sciences et techniques, FabLab Pau s'efforce de respecter la charte actuelle des fablabs. AccÃ¨s Ã  tous, co-construction du savoir et apprentissage par les pairs, responsabilisation des usagers, partage des concepts et processus sans faire obstacle Ã  la propriÃ©tÃ© intellectuelle, telles sont les bases du projet FabLab Pau.",,contact@fablab-pau.org,http://www.fablab-pau.org,,,-0.3673914,43.2955172,"43.2955172, -0.367391399999974","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, , , , ","FabLab Pau est un ""LABoratoire de FABrication"" associatif. Ouvert Ã  tous, c'est un espace de travail, un lieu d'Ã©change et de partage des connaissances.",https://www.fablabs.io/fablabpau,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Alicante,Spain,"Ctra. San Vicente del Raspeig, s/n,  3690, ","San Vicente del Raspeig, Alicante"," FabLab Alicante is a digital fabrication laboratory specialized in singular prototyping. We are focused on production and investigation centered on arquitecture, design and broadcasting digital culture and production.",,,https://www.facebook.com/fablabalicante,,,-0.5098719,38.3829943,"38.3829943, -0.509871900000007","<https://plus.google.com/u/0/109169507820175971471/posts>, <https://www.youtube.com/channel/UCcLITo4_XRluWORsuCbdW2w>, <https://twitter.com/FabLabALC>, <http://blogs.ua.es/lips>, <>","cnc_milling, laser, , , , ",,https://www.fablabs.io/fablabalicante,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,L'ETABLI,France,"Pole Associatif RÃ©sano-LapÃ¨gue, rue de Moscou 40140, 2Ã¨me Ã©tage du pÃ´le associatif.","Soustons, Aquitaine/Landes","Projet de Lab sur 4 axes : Ã©ducation, jeunes, professionnels, artistes Projet portÃ© par l'UniversitÃ© du Temps Libre Landes CÃ´te sud, appuyÃ© par la communautÃ© de communes MACS et la Ville de Soustons. Accompagnement d'un projet d'un groupe de jeunes autour de l'impression 3D depuis fÃ©vrier 2014. Initiation Ã  la programmation de robots en milieu scolaire (TAP : Temps d'Accueil PÃ©riscolaire). Actions de sensibilisations tous publics depuis mars 2015 (Concept Fab Lab, impression 3D, scanner, CAO, plotter). EngagÃ© dans la mise en place d'un rÃ©seau aquitain des Fab Labs.Mise Ã  disposition d'un local de 120 m2 par la Ville de Soustons,en cours d'amÃ©nagement. Mise en service pleinement opÃ©rationnel pour fin 2015.",,contact@letabli.net,http://letabli.net,+33558412366 - '+33637 20 21 53,,-1.3254706,43.7486121,"43.7486121, -1.32547060000002","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, laser, vinyl_cutting, , ","Projet de Lab sur 4 axes : Ã©ducation, jeunes, professionnels, artistes",https://www.fablabs.io/letabli,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,Fab Lab Sunderland,Great Britain,"Shackleton House, Silksworth Row SR1 3QR, The entrance is from the car park.","Sunderland, ",This Fab Lab is open in Shackleton House on Silksworth Row. ,,hello@fablabsunderland.org,http://www.fablabsunderland.org,0191 515 3535,,-1.392971,54.9064731,"54.9064731, -1.39297099999999","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, circuit_production, laser, precision_milling, vinyl_cutting",This Fab Lab is open in Shackleton House on Silksworth Row.,https://www.fablabs.io/fablabsunderland,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,zBis,France,"123 bd Louis Blanc,  85000, La Gouelle","La Roche-sur-Yon, Vendee", ,,emmanuelle.roux@gmail.com,http://www.zbis.fr,33667328734,,-1.426442,46.670511,"46.670511, -1.42644199999995","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, laser, vinyl_cutting, , ",,https://www.fablabs.io/zbis,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,PiNG,France,",  44000, ","Nantes, Pays de la Loire", ,,,http://fablab.pingbase.net,,,-1.553621,47.218371,"47.218371, -1.55362100000002","<>, <>, <>, <>, <>",", , , , , ",,https://www.fablabs.io/ping,,,,,,,,,,,,,,,,,,,,,,
fab_lab,Europe,labfab de Rennes,France,",  35000, ","Rennes, Brittany", ,,,http://labfab.fr,,,-1.6755769,48.1135035,"48.1135035, -1.67557690000001","<>, <>, <>, <>, <>","three_d_printing, cnc_milling, laser, precision_milling, vinyl_cutting, ",,https://www.fablabs.io/labfabderennes,,,,,,,,,,,,,,,,,,,,,,
