Source,"Changed, corrected",Region,Name,Country,address,City and Region,State,description,Category,Full Category,E-mail,Website,Phone,Facebook,Degrees,Long,Lat,Tools,Short blurb (NULL),Fablabs url (NULL),wiki_hackerspaces,Status,Flickr,YouTube,Ustream,Mailinglist,Last Updated,Open to Exchanges?,IRC,Date of founding,Number of members,Wiki,Twitter,GooglePlus,Membership fee,Jabber,Open to Residencies?,City,State or District,"meetup, Eventbrite",Size of rooms,Original Long lat or degrees,,g_Address,g_LatLng,g_Icon,g_Id,g_Place_Id,g_Name,g_Hours,g_Rating,g_Types,State
Hackerspaces.org,,USA,Yuba City,USA,Yuba City,"Yuba City, California", California,,Makerspace/Hackerspace,,,,,,,-121.646,39.1475,,,,https://wiki.hackerspaces.org/Yuba_City,planned,,,,,40707,,,,,,,,,,,Yuba City,California,,,"39_ 8' 51"", -121_ 38' 44""",,"Yuba City, CA, USA","39.1404477, -121.6169108",https://maps.gstatic.com/mapfiles/place_api/icons/geocode-71.png,b9677c842ca3c4eb314ce662ef5d66fd0f998379,ChIJN7FwxXGrhIARAiXwBR1wP00,Yuba City,,,"[u'locality', u'political']", California
Hackerspaces.org,,USA,Technocopia Worcester,USA,"Worcester, United_States_of_America","Worcester, Massachusetts", Massachusetts,,Makerspace/Hackerspace,,nick.bold@technocopia.org,http://technocopia.org/,860.917.2784,https://www.facebook.com/Technocopia,,-71.7997,42.2778,"3D Printer, CNC, Lasercutter, Lathe, Drill Press, Air Compressor, Soldering Iron, Hot Air Rework Station",,,https://wiki.hackerspaces.org/Technocopia_Worcester,active,,,,https://groups.google.com/forum/?fromgroups#!forum/the-technocopia-project,41611,yes,,41506,20,https://code.google.com/p/the-technocopia-project/w/list,,,"Normal membership is $125 monthly., Early adopters (the first 50) will get and keep a rate of $75/month.",,yes,Worcester,Massachusetts,,5000 ft^2,"42_ 16' 40"", -71_ 47' 59""",,"95 Prescott St, Worcester, MA 01609, United States","42.2773866, -71.799817",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,45960d0848e4cfeff6cdc225f3c615509e4b8c9e,ChIJZ8UPaVAG5IkRpghYpuVR6J4,Technocopia,,,"[u'point_of_interest', u'establishment']", Massachusetts
Hackerspaces.org,,USA,CollabLab,USA,"Worcester, Massachusetts","Worcester, Massachusetts", Massachusetts,,Makerspace/Hackerspace,,,http://collablab.wpi.edu/,,,,-71.8023,42.2626,"3D Printer, Drill Press, Hot Air Rework Station, Soldering Iron, Air Compressor, CNC, Portable Bandsaw, ",,,https://wiki.hackerspaces.org/CollabLab,active,,,,,41707,,,40567,50,,,,"Free, open to all students of Worcester Polytechnic Institute.",,,Worcester,Massachusetts,,,42.262593,,,,,,,,,,, Massachusetts
Makerspace.com,,USA,Technocopia,USA,"Worcester, MA","Worcester, MA", MA,,Makerspace/Hackerspace,,,Technocopia,,,,-71.7998,42.2774,,,,,,,,,,,,,,,,,,,,,,,,,,,"95 Prescott St, Worcester, MA 01609, United States","42.2773866, -71.799817",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,45960d0848e4cfeff6cdc225f3c615509e4b8c9e,ChIJZ8UPaVAG5IkRpghYpuVR6J4,Technocopia,,,"[u'point_of_interest', u'establishment']", MA
Hackerspaces.org,,USA,River City Makers,USA,"Wisconsin-53185, Waterford","Waterford, Wisconsin", Wisconsin,Kick off meeting Sept. 15th from 1 to 2:30 pm in the Waterford Library Community Room.,Makerspace/Hackerspace,,waterfordmakers@gmail.com,http://rivercitymakers.weebly.com/,,,,-87.8985,42.9981,,,,https://wiki.hackerspaces.org/River_City_Makers,planned,,,,,41100,,,41071,,,,,,,,Waterford,Wisconsin,,,,,"2555 S Lenox St, Milwaukee, WI 53207, United States","42.998085, -87.898484",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,8a52b07185db2432678b0e8ab58cb1e372516f7e,ChIJb2xEY34XBYgRC3UzEjsKoaI,Milwaukee Makerspace,,,"[u'point_of_interest', u'establishment']", Wisconsin
Hackerspaces.org,,USA,Proxy Hack Lab,USA,Winston Salem,"Winston Salem, North Carolina", North Carolina,"Currently only teaching classes in rapid prototyping, if you have other classes you would like to teach, or other directions you would like us to go, PLEASE email me.",Makerspace/Hackerspace,,,http://repraplogphase.blogspot.com/,,,,-80.2514,36.0989,,,,https://wiki.hackerspaces.org/Proxy_Hack_Lab,active,,,,,40503,,,40179,3,,,,"No property, so no fee yet.",,,Winston Salem,North Carolina,,"None yet, waiting for larger group","36_ 5' 56"", -80_ 15' 5""",,,,,,,,,,, North Carolina
Hackerspaces.org,,USA,WinonaHackers,USA,"Winona, Minnesota","Winona, Minnesota", Minnesota,,Makerspace/Hackerspace,,winonahackers@gmail.com,,,,,-91.6664,44.0554,,,,https://wiki.hackerspaces.org/WinonaHackers,active,,,,,41348,,,41348,1 so far,,,,You need to own your own equipment. That is all.,,,Winona,Minnesota,,,44.055391,,,,,,,,,,, Minnesota
Hackerspaces.org,,USA,Apple Space,USA,Winchester,"Winchester, Virginia", Virginia,This is a new and upcoming Hackerspace located in Winchester VA.  We do not have a meeting place yet.  Feel free to join the mailing list if you have interest!,Makerspace/Hackerspace,,,,,,,-78.165,39.1599,,,,https://wiki.hackerspaces.org/Apple_Space,planned,,,,AppleSpace@googlegroups.com,40828,,,40817,2,,,,none yet,,,Winchester,Virginia,,,,,"Apple Blossom Mall, 1850 Apple Blossom Dr, Winchester, VA 22601, United States","39.159929, -78.1649599",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,3df4a5daf185f74c14d4340965053b5b4efdf90c,ChIJx1sexuTutYkRBdxu08dc9UQ,Payless ShoeSource,,,"[u'shoe_store', u'store', u'point_of_interest', u'establishment']", Virginia
Hackerspaces.org,,USA,Barrel Of Makers,USA,"Wilmington, Delaware","Wilmington, Delaware", Delaware,"For current information on meetings and classes, please see our page on Meetup.",Makerspace/Hackerspace,,,http://barrelofmakers.org/,,https://www.facebook.com/pages/Barrel-of-Makers/122068401190167,,-75.5398,39.7391,,,,https://wiki.hackerspaces.org/Barrel_Of_Makers,active,,,,,41934,,,40695,20,,https://twitter.com/BarrelOfMakers,,,,,Wilmington,Delaware,,,39.739072,,,,,,,,,,, Delaware
Instructables Competition list,,USA,Banning Academies of Creative and Innovative Sciences,USA,"Wilmington, CA","Wilmington, CA", CA,,"Makerspace/Hackerspace, Fab Lab",,,http://www.bhsacademy.org,,,,-118.262,33.7939,,,,,,,,,,,,,,,,,,,,,,,,,,,"1527 Lakme Ave, Wilmington, CA 90744, United States","33.7939067, -118.2617378",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,e07ab522cc0f2d93886f85388b16fa57673e0290,ChIJi4RJ5cg13YARN5ZU0O2BYHg,Banning High School,,3.6,"[u'school', u'point_of_interest', u'establishment']", CA
Hackerspaces.org,,USA,Ideamaker,USA,"Whittier, CA","Whittier, CA", CA,"Monthly maker meetup in Whittier, CA.  Free to attend.",Makerspace/Hackerspace,,brentlymaker@gmail.com,http://www.ideamaker.org,,,,-118.037,33.9806,,,,https://wiki.hackerspaces.org/Ideamaker,building,,,,,41732,,,41691,3,,,,0,,no,Whittier,CA,,,"33.980592, -118.037219",,,,,,,,,,, CA
Hackerspaces.org,,USA,Whitewater Makerspace,USA,"Whitewater, 53190, ","Whitewater, Wisconsin", Wisconsin,,Makerspace/Hackerspace,,,http://www.whitewatermakerspace.org,,,,-88.7048,42.8323,,,,https://wiki.hackerspaces.org/Whitewater_Makerspace,planned,,,,,41467,,,,,,,,,,,Whitewater,Wisconsin,,,,,"1206 Bluff Rd, Whitewater, WI 53190, United States","42.8323045, -88.7047686",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,9cf08cb09ba9efe97a9ceaae64b350dd0e72c288,ChIJk2bOyjbnBYgRPaxI8DgeglU,Whitewater MakerSpace,,,"[u'point_of_interest', u'establishment']", Wisconsin
Makerspace.com,,USA,Gorge MakerSpace,USA,"White Salmon, WA","White Salmon, WA", WA,,Makerspace/Hackerspace,,,Gorge MakerSpace,,,,-121.486,45.7276,,,,,,,,,,,,,,,,,,,,,,,,,45.727619,,,,,,,,,,, WA
Hackerspaces.org,,USA,Iron Tribe,USA,White Plains,"White Plains, New York", New York,"As of 2010 the name of the Hackerspace and group is Beta Two Labs, Inc.",Makerspace/Hackerspace,,,http://betatwolabs.com/,,,,-73.7697,41.0322,,,,https://wiki.hackerspaces.org/Iron_Tribe,active,,,,,40616,,,40316,,,,,,,,White Plains,New York,,,"41_ 1' 56"", -73_ 46' 11""",,,,,,,,,,, New York
fab_lab,,USA,Century Community and Technical College,USA,"White Bear Lake, Minnesota, 55110, ","White Bear Lake, Minnesota", Minnesota,,Fab Lab,,,http://www.century.edu/currentstudents/fablab/default.aspx,,"<>, <>, <>, <>, <>",,-93.0099,45.0847,", , , , , ",,https://www.fablabs.io/centurycommunityandtechnicalcollege,,,,,,,,,,,,,,,,,,,,,,"45.0846885, -93.0099398",,"3300 Century Ave N, St Paul, MN 55110, United States","45.0415774, -92.9823488",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,d2ef0dec1678359333d725d274552a7d431d1dc1,ChIJDed_5YPRslIRMchaeTUFp34,Century College,,3.5,"[u'library', u'point_of_interest', u'establishment']", Minnesota
Hackerspaces.org,,USA,The Braino Institute of Brainology,USA,Wheeling,"Wheeling, Illinois", Illinois,"leans towards robotics and control software, but also extends to household lighting and architecture, and fix-it odd jobs",Makerspace/Hackerspace,,prof_braino@hotmail.com,,,,,-87.9186,42.1333,,,,https://wiki.hackerspaces.org/The_Braino_Institute_of_Brainology,planned,,,,,41100,,,40702,1,,,,$1 USD,,,Wheeling,Illinois,,1600 ft™_,"42_ 8' 0"", -87_ 55' 7""",,,,,,,,,,, Illinois
Makerspace.com,,USA,MakerSpace - The Westport Library,USA,"Westport, CT","Westport, CT", CT,,Makerspace/Hackerspace,,,MakerSpace - The Westport Library,,,,-73.3613,41.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,"20 Jesup Rd, Westport, CT 06880, United States","41.1397021, -73.361349",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,8714ffafa32cf273d3a114e9d8d3ef6226779905,ChIJLxs_onkb6IkRl7qSiWi52RM,Westport Public Library,,4.6,"[u'library', u'point_of_interest', u'establishment']", CT
Makerspace.com,,USA,Cre8,USA,"Westborogh, Ma","Westborogh, Ma", Ma,,Makerspace/Hackerspace,,,Cre8,,,,-71.6539,42.282,,,,,,,,,,,,,,,,,,,,,,,,,,,"76 Otis St, Westborough, MA 01581, United States","42.282019, -71.653948",https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,8f42b416e3d62019315e0361e0378611df52fc1f,ChIJO-PawRcK5IkRx0jWw1oyEpw,Cre8,,,"[u'store', u'point_of_interest', u'establishment']", Ma
Makerspace.com,,USA,MakerspaceCT,USA,"West Hartford, CT","West Hartford, CT", CT,,Makerspace/Hackerspace,,,MakerspaceCT,,,,-72.9138,41.3417,,,,,,,,,,,,,,,,,,,,,,,,,,,"1108 Whitney Ave, Hamden, CT 06517, United States","41.341654, -72.9137949",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,56c66959ff13becfba9751679a09c838d395e1af,ChIJ_6xTUvbZ54kRR5uJUlZO7pI,Hamden Hall Country Day School,,,"[u'school', u'point_of_interest', u'establishment']", CT
Makerspace.com,,USA,Makerspace West Bend,USA,"West Bend, Wisconsin","West Bend, Wisconsin", Wisconsin,,Makerspace/Hackerspace,,,Makerspace West Bend,,,,-87.8985,42.9981,,,,,,,,,,,,,,,,,,,,,,,,,,,"2555 S Lenox St, Milwaukee, WI 53207, United States","42.998085, -87.898484",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,8a52b07185db2432678b0e8ab58cb1e372516f7e,ChIJb2xEY34XBYgRC3UzEjsKoaI,Milwaukee Makerspace,,,"[u'point_of_interest', u'establishment']", Wisconsin
Hackerspaces.org,,USA,Wausau Collaboration Center,USA,Wausau,"Wausau, Wisconsin", Wisconsin,"We are currently working on a hacker space with the intent of it being a haven for creativity and small business start-ups. Our vision is:The collaboration space offers the shared use of a full work shop and office space to small business, individuals, and groups with innovative ideas at a much lower cost than owning or leasing a full facility and tool collection.",Makerspace/Hackerspace,,,http://www.wausaucollaborationcenter.com/,,,,-89.63,44.9589,,,,https://wiki.hackerspaces.org/Wausau_Collaboration_Center,planned,,,,,40826,,,40817,2,,,,Work in progress.,,,Wausau,Wisconsin,,,"44_ 57' 32"", -89_ 37' 48""",,"500 1st St #7000, Wausau, WI 54403, United States","44.961225, -89.630722",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,f2e6aa7a98e1268bfe90a8755fecfa7d0158d167,ChIJFzez7SkhAIgRJjcA8joLgTo,Collaborative Domestic Solution Center,,,"[u'point_of_interest', u'establishment']", Wisconsin
Instructables Competition list,,USA,Waunakee Public Library,USA,"Waunakee, WI","Waunakee, WI", WI,,"Makerspace/Hackerspace, Fab Lab",,,www.waunakeepubliclibrary.org,,,,-89.4558,43.185,,,,,,,,,,,,,,,,,,,,,,,,,,,"710 South St, Waunakee, WI 53597, United States","43.184981, -89.455832",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,06102c8b71ec1a709ab6100b1e6395e08aaddd46,ChIJjf07Zb0AB4gRdoMa43adJMs,Waunakee Public Library,,,"[u'library', u'point_of_interest', u'establishment']", WI
Hackerspaces.org,,USA,Spring City Launchpad,USA,"Waukesha, Wisconsin","Waukesha, Wisconsin", Wisconsin,,Makerspace/Hackerspace,,,http://springcitylaunchpad.org,,http://www.facebook.com/SpringCityLaunchpad,,-88.2315,43.0117,,,,https://wiki.hackerspaces.org/Spring_City_Launchpad,planned,,,,,41136,,,41041,8,http://atrium.schoolfactory.org/springcity/,http://twitter.com/sclaunchpad,,,,,Waukesha,Wisconsin,,,43.011678,,,,,,,,,,, Wisconsin
Hackerspaces.org,,USA,Maine Makerspace,USA,Waterville,"Waterville, Maine", Maine,,Makerspace/Hackerspace,,,http://www.MaineMakerspace.com,,http://www.facebook.com/groups/145861735559259/,,-69.7827,44.3061,,,,https://wiki.hackerspaces.org/Maine_Makerspace,building,,,,,41236,,,41183,5,,,,Free,,,Waterville,Maine,,,,,"230 State St, Augusta, ME 04333, United States","44.306073, -69.7827403",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,a9a717ccdae4e61387b45129a88de9345191e6a6,ChIJTZPrUdAGskwR85rkz1lsttQ,Maine State Library,,,"[u'library', u'point_of_interest', u'establishment']", Maine
Makerspace.com,,USA,Jefferson County RAC,USA,"Watertown, NY","Watertown, NY", NY,,Makerspace/Hackerspace,,,Jefferson County RAC,,,,-75.9139,43.9754,,,,,,,,,,,,,,,,,,,,,,,,,,,"175 Arsenal St # 1, Watertown, NY 13601, United States","43.9753856, -75.9138749",https://maps.gstatic.com/mapfiles/place_api/icons/civic_building-71.png,7227f847985a56e9b16201f0e18073ae4283317b,ChIJd7BsjOJv2IkRmuZEmjXnsPI,Jefferson County Property Tax,,,"[u'local_government_office', u'accounting', u'finance', u'point_of_interest', u'establishment']", NY
Hackerspaces.org,,USA,Yet UnNamed HS,USA,Waterbury,"Waterbury, Connecticut", Connecticut,,Makerspace/Hackerspace,,computersecurityguy@removethispart.gmail.com,,,,,-73.0408,41.5558,,,,https://wiki.hackerspaces.org/Yet_UnNamed_HS,planned,,,,,39969,,,39969,1,,,,Working on it..,,,Waterbury,Connecticut,,,"41_ 33' 21"", -73_ 2' 27""",,,,,,,,,,, Connecticut
planned_fab_lab,,USA,Howard University Middle School of Mathematics and Science,USA,"Washington, District of Columbia, 20059, ","Washington, District of Columbia", District of Columbia,,Fab Lab,,,http://www.howard.edu/ms2,,"<>, <>, <>, <>, <>",,-77.0205,38.9212,", , , , , ",,https://www.fablabs.io/howarduniversitymiddleschoolofmathematicsandscience,,,,,,,,,,,,,,,,,,,,,,"-77.0204624, 38.9212171",,"405 Howard Pl NW, Washington, DC 20001, United States","38.9228333, -77.0189541",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,085ec81911e2deb1f41014426ee78b86a998698f,ChIJY91Irv23t4kR2sW9tHYcJjE,Howard University Middle School of Mathematics and Science,,3.3,"[u'school', u'point_of_interest', u'establishment']", District of Columbia
fab_lab,,USA,Fab Lab DC,USA,"Washington, District of Columbia, 20002, ","Washington, District of Columbia", District of Columbia,,Fab Lab,,,https://twitter.com/FabLabDC,,"<https://www.facebook.com/pages/FAB-LAB-DC/320444572757>, <http://www.awesomefoundation.org/en/projects/2258-fab-lab-dc>, <http://fablabdc.blogspot.com>, <http://www.fablabdc.org>, <>",,-77.0095,38.9092,", , , , , ",,https://www.fablabs.io/fablabdc,,,,,,,,,,,,,,,,,,,,,,"38.909206, -77.00946",,"1418 North Capitol St NW, Washington, DC 20002, United States","38.909206, -77.00946",https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,078b026673b80881cfda5fe6f62534c790492b77,ChIJ-fkD7x24t4kR0SnnBFzULtY,Fab Lab DC,,,"[u'museum', u'point_of_interest', u'establishment']", District of Columbia
Hackerspaces.org,,USA,W2 Hackers,USA,Walla Walla,"Walla Walla, Washington", Washington,Interested in starting something?  Contact me via eMail.,Makerspace/Hackerspace,,joshgesler@gmail.com,,,,,-118.334,46.0653,,,,https://wiki.hackerspaces.org/W2_Hackers,planned,,,,,39783,,,,1,,,,,,,Walla Walla,Washington,,,"46_ 3' 55"", -118_ 20' 1""",,,,,,,,,,, Washington
Makerspace.com,,USA,The Institute for Exploratory Research (IXR),USA,"Wall Township, NJ","Wall Township, NJ", NJ,,Makerspace/Hackerspace,,,The Institute for Exploratory Research (IXR),,,,-74.068,40.1607,,,,,,,,,,,,,,,,,,,,,,,,,40.160667,,,,,,,,,,, NJ
Hackerspaces.org,,USA,MAKER's EDGe,USA,"Waco, 76708,","Waco, Texas", Texas,,Makerspace/Hackerspace,,,http://makersedge.blogspot.com,254.495.9156,https://www.facebook.com/makers.edge,,-97.1433,31.5458,,,,https://wiki.hackerspaces.org/MAKER%27s_EDGe,active,,,,,41972,,,41654,,,,https://plus.google.com/b/113270474552917050364/113270474552917050364/posts,,,,Waco,Texas,,,"31_ 32' 45"", -97_ 8' 36""",,"1800 Austin Ave #3, Waco, TX 76701, United States","31.545979, -97.1437439",https://maps.gstatic.com/mapfiles/place_api/icons/school-71.png,0b7a5cda18dfbbc270e8d92a836976eea8459f7d,ChIJGxn9zkaaT4YRoOOyXFLphPA,Maker's Edge Makerspace,,,"[u'general_contractor', u'point_of_interest', u'establishment']", Texas
Makerspace.com,,USA,SCAM Lab: Science Builders Group,USA,"Vincent, Ohio","Vincent, Ohio", Ohio,,Makerspace/Hackerspace,,,SCAM Lab: Science Builders Group,,,,-81.6709,39.3747,,,,,,,,,,,,,,,,,,,,,,,,,39.374748,,,,,,,,,,, Ohio
Makerspace.com,,USA,Science Builders Group,USA,"Vincent, OH","Vincent, OH", OH,,Makerspace/Hackerspace,,,Science Builders Group,,,,-81.6709,39.3747,,,,,,,,,,,,,,,,,,,,,,,,,39.374748,,,,,,,,,,, OH
Instructables Competition list,,USA,DREAM Lab,USA,"Verona, WI","Verona, WI", WI,,"Makerspace/Hackerspace, Fab Lab",,,amyotis.weebly.com,,,,-89.5332,42.9908,,,,,,,,,,,,,,,,,,,,,,,,,42.990831,,,,,,,,,,, WI
Hackerspaces.org,,USA,Ventura/Oxnard Area Hackerspace,USA,Ventura / Oxnard,"Ventura / Oxnard, California", California,"We are a group in the planning stages, putting together our members and organization structure.",Makerspace/Hackerspace,,,http://www.meetup.com/Ventura-Area-Makers-Builders-Hackers/,,,,-119.177,34.1975,,,,https://wiki.hackerspaces.org/Ventura/Oxnard_Area_Hackerspace,planned,,,,,41413,,,,12,,,,Membership structure not established,,,Ventura / Oxnard,California,,,34.197505,,,,,,,,,,, California
Makerspace.com,,USA,NWI Makers Club,USA,"Valparaiso, IN","Valparaiso, IN", IN,,Makerspace/Hackerspace,,,NWI Makers Club,,,,-87.0611,41.4731,,,,,,,,,,,,,,,,,,,,,,,,,41.473095,,,,,,,,,,, IN
